Num,Horse Name,Age,Gender,Handicap Rating,Career Runs,Career Wins,Career Strike Rate,Career ROI,Career Placings,Career Place Strike Rate,Dry Track Runs,Dry Track Wins,Dry Track Strike Rate,Dry Track ROI,Wet Track Runs,Wet Track Wins,Wet Track Strike Rate,Wet Track ROI,Average Prize Money,Career Prize Money,Best Fixed Odds,BetEasy Odds,Weight,Weight Carried,Barrier,Prize Money,This Track Runs,This Track Wins,This Track Strike Rate,This Track ROI,This Track Places,This Track Place Strike Rate,This Distance Runs,This Distance Wins,This Distance Strike Rate,This Distance ROI,This Distance Places,This Distance Place Strike Rate,This Track Distance Runs,This Track Distance Wins,This Track Distance Strike Rate,This Track Distance ROI,This Track Distance Places,This Track Distance Place Strike Rate,This Condition Runs,This Condition Wins,This Condition Strike Rate,This Condition ROI,This Condition Places,This Condition Place Strike Rate,Jockey,Apprentice,Jockey Weight Claim,Jockey Last 100 Horse Earnings,Jockey Last 100 Avg Horse Earnings,Jockey Last 100 Starts,Jockey Last 100 Wins,Jockey Last 100 Strike Rate,Jockey Last 100 ROI,Jockey Last 100 Places,Jockey Last 100 Place Strike Rate,Jockey 12 Month Horse Earnings,Jockey 12 Month Avg Horse Earnings,Jockey 12 Months Starts,Jockey 12 Months Wins,Jockey 12 Months Strike Rate,Jockey 12 Months ROI,Jockey 12 Months Places,Jockey 12 Months Place Strike Rate,Jockey This Season Horse Earnings,Jockey This Season Avg Horse Earnings,Jockey This Season Starts,Jockey This Season Wins,Jockey This Season Strike Rate,Jockey This Season ROI,Jockey This Season Places,Jockey This Season Place Strike Rate,Jockey Last Season Horse Earnings,Jockey Last Season Avg Horse Earnings,Jockey Last Season Starts,Jockey Last Season Wins,Jockey Last Season Strike Rate,Jockey Last Season ROI,Jockey Last Season Places,Jockey Last Season Place Strike Rate,Trainer,Trainer Last 100 Horse Earnings,Trainer Last 100 Avg Horse Earnings,Trainer Last 100 Starts,Trainer Last 100 Wins,Trainer Last 100 Strike Rate,Trainer Last 100 ROI,Trainer Last 100 Places,Trainer Last 100 Place Strike Rate,Trainer 12 Month Horse Earnings,Trainer 12 Month Avg Horse Earnings,Trainer 12 Months Starts,Trainer 12 Months Wins,Trainer 12 Months Strike Rate,Trainer 12 Months ROI,Trainer 12 Months Places,Trainer 12 Months Place Strike Rate,Trainer This Season Horse Earnings,Trainer This Season Avg Horse Earnings,Trainer This Season Starts,Trainer This Season Wins,Trainer This Season Strike Rate,Trainer This Season ROI,Trainer This Season Places,Trainer This Season Place Strike Rate,Trainer Last Season Horse Earnings,Trainer Last Season Avg Horse Earnings,Trainer Last Season Starts,Trainer Last Season Wins,Trainer Last Season Strike Rate,Trainer Last Season ROI,Trainer Last Season Places,Trainer Last Season Place Strike Rate,Last Start Finish Position,Last Start Margin,Last Start Distance,Last Start Distance Change,Last Start Prize Money,Form Guide Url,Horse Profile Url,Jockey Profile Url,Trainer Profile Url,FinishResult
1,Pedway,7,G,71,22,3,13.64,-65,8,36.36,14,2,14.29,-64,8,1,12.5,-65,4362,95970,36,,59,57.5,6,75000,4,0,0,-100,1,25,11,3,27.27,-29,5,45.45,3,0,0,-100,1,33.33,14,2,14.29,-64,4,28.57,Jean Van Overmeire,Yes,1.5,350510,3505,100,7,7,-12,23,23,2097400,4237,495,32,6.46,-45,121,24.44,450030,3041,148,8,5.41,-27,38,25.68,2589215,4550,569,40,7.03,-40,149,26.19,Danny Williams,448925,4489,100,15,15,-6,33,33,1011380,4436,228,37,16.23,-5,86,37.72,382230,4445,86,13,15.12,4,28,32.56,886765,3790,234,28,11.97,-38,79,33.76,14,4.6,1100m,100,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/pedway_488252/,https://www.punters.com.au/jockeys/jean-van-overmeire_13565/,https://www.punters.com.au/trainers/danny-williams_526/,3
2,Step On Fire,4,G,69,6,3,50,35,4,66.67,4,3,75,103,2,0,0,-100,7231,43385,7,,59,56,10,75000,0,0,0,0,0,0,2,1,50,0,2,100,0,0,0,0,0,0,4,3,75,103,3,75,Reece Jones,Yes,3,328540,3285,100,14,14,-29,41,41,998510,2554,391,46,11.76,-8,122,31.2,791190,3127,253,36,14.23,-13,92,36.36,207320,1502,138,10,7.25,1,30,21.74,Cameron Crockett,303380,3034,100,12,12,-26,41,41,645270,3226,200,26,13,-32,77,38.5,197590,3136,63,8,12.7,-6,26,41.27,568205,3304,172,26,15.12,-43,63,36.63,1,0,900m,-100,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/step-on-fire_751484/,https://www.punters.com.au/jockeys/reece-jones_15212/,https://www.punters.com.au/trainers/cameron-crockett_5242/,4
3,Tikkitala,7,G,66,19,3,15.79,28,7,36.84,11,1,9.09,-50,8,2,25,136,3474,66005,51,,59,57,9,75000,1,0,0,-100,0,0,7,1,14.29,-21,3,42.86,0,0,0,0,0,0,11,1,9.09,-50,5,45.45,Louise Day,Yes,2,455535,4555,100,5,5,-68,14,14,2883590,4285,673,52,7.73,-48,169,25.11,1311765,5164,254,19,7.48,-46,57,22.44,2156165,3369,640,51,7.97,-44,163,25.47,Allan Kehoe,257940,2579,100,12,12,-29,28,28,466015,2807,166,18,10.84,-31,55,33.13,162780,3130,52,4,7.69,-59,15,28.85,426000,2354,181,18,9.94,-34,58,32.04,1,0,1000m,0,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tikkitala_518511/,https://www.punters.com.au/jockeys/louise-day_14123/,https://www.punters.com.au/trainers/allan-kehoe_6087/,11
4,What the Fuss,5,G,63,19,3,15.79,-62,10,52.63,13,2,15.38,-64,6,1,16.67,-57,4373,83080,16,,59,59,12,75000,1,0,0,-100,0,0,8,1,12.5,-64,5,62.5,0,0,0,0,0,0,13,2,15.38,-64,5,38.46,Mathew Cahill,No,,218925,2189,100,7,7,-28,17,17,1665450,2837,587,64,10.9,4,175,29.81,529610,2283,232,24,10.34,-7,54,23.28,1604920,2786,576,56,9.72,-13,188,32.64,Kody Nestor,450560,4506,100,19,19,-2,49,49,1022510,3963,258,43,16.67,-21,102,39.53,462035,4400,105,20,19.05,-1,50,47.62,816300,3963,206,36,17.48,-27,79,38.35,13,9.03,1300m,300,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/what-the-fuss_678618/,https://www.punters.com.au/jockeys/mathew-cahill_991/,https://www.punters.com.au/trainers/kody-nestor_14531/,7
5,Zardoro,7,G,59,31,3,9.68,-20,15,48.39,20,2,10,-6,11,1,9.09,-45,6304,195415,23,,59,57,1,75000,7,0,0,-100,2,28.57,5,0,0,-100,2,40,1,0,0,-100,0,0,20,2,10,-6,11,55,Tom Sherry,Yes,2,2487285,24873,100,14,14,-37,42,42,5754603,8174,704,111,15.77,-25,312,44.32,3528875,14522,243,35,14.4,-20,94,38.68,2647123,4920,538,95,17.66,-22,258,47.96,Terry Robinson,280835,2808,100,3,3,-47,26,26,359360,3045,118,5,4.24,-31,30,25.42,139970,4666,30,2,6.67,-60,10,33.33,459725,3085,149,10,6.71,-33,42,28.19,11,7.1,1200m,200,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/zardoro_552897/,https://www.punters.com.au/jockeys/tom-sherry_16835/,https://www.punters.com.au/trainers/terry-robinson_333/,5
6,Remlaps Gem,4,G,65,4,2,50,198,3,75,1,0,0,-100,3,2,66.67,297,8569,34275,11,,57.5,57.5,5,75000,0,0,0,0,0,0,2,1,50,400,2,100,0,0,0,0,0,0,1,0,0,-100,1,100,Billy Cray,No,,156750,1568,100,6,6,-29,21,21,699045,1689,414,25,6.04,-46,87,21.01,346610,2088,166,12,7.23,-21,39,23.49,630215,1400,450,26,5.78,-56,88,19.56,Scott Singleton,320915,3209,100,9,9,-21,25,25,757730,3626,209,24,11.48,-1,67,32.06,251355,2957,85,9,10.59,0,21,24.71,576365,3602,160,16,10,-21,54,33.75,2,1.2,1000m,0,4650,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/remlaps-gem_761049/,https://www.punters.com.au/jockeys/billy-cray_12835/,https://www.punters.com.au/trainers/scott-singleton_496/,1
7,Danebrook,4,G,62,7,2,28.57,-10,6,85.71,6,2,33.33,5,1,0,0,-100,6919,48435,11,,57.5,57.5,3,75000,0,0,0,0,0,0,4,1,25,20,4,100,0,0,0,0,0,0,6,2,33.33,5,6,100,Regan Bayliss,No,,1559305,15593,100,9,9,-47,24,24,3226816,7628,423,34,8.04,-46,100,23.64,2123020,12713,167,13,7.78,-50,37,22.16,2574329,7777,331,23,6.95,-49,72,21.75,Sue Grills,273376,2734,100,14,14,11,36,36,480586,2256,213,20,9.39,-24,57,26.76,197771,2786,71,11,15.49,32,27,38.03,547055,2521,217,21,9.68,-25,58,26.73,1,0,950m,-50,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/danebrook_704049/,https://www.punters.com.au/jockeys/regan-bayliss_7487/,https://www.punters.com.au/trainers/sue-grills_572/,10
9,Tejori,4,M,70,8,3,37.5,8,5,62.5,2,1,50,40,6,2,33.33,-2,10844,86750,4.5,,57,57,4,75000,5,1,20,-26,2,40,5,2,40,-1,3,60,2,0,0,-100,0,0,2,1,50,40,2,100,Tommy Berry,No,,1034690,10347,100,20,20,6,52,52,11490605,14981,767,135,17.6,-11,354,46.15,6288350,19713,319,69,21.63,7,164,51.41,12063455,16503,731,113,15.46,-14,314,42.95,Nick Olive,267160,2672,100,10,10,-53,32,32,844375,3548,238,33,13.87,-28,89,37.4,227470,2774,82,8,9.76,-53,26,31.71,976995,3831,255,42,16.47,-17,101,39.61,3,1.6,1000m,0,3200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tejori_701699/,https://www.punters.com.au/jockeys/tommy-berry_1690/,https://www.punters.com.au/trainers/nick-olive_334/,2
10,Affinity Beyond,4,M,68,7,3,42.86,24,5,71.43,6,3,50,45,0,0,0,0,6043,42300,5,,57,57,7,75000,0,0,0,0,0,0,6,3,50,45,5,83.33,0,0,0,0,0,0,6,3,50,45,5,83.33,Simon Miller,No,,215170,2152,100,9,9,-23,30,30,1110623,2027,548,47,8.58,-38,169,30.84,389858,1989,196,16,8.16,-31,58,29.59,1074170,2201,488,48,9.84,-35,160,32.79,Luke Pepper,238915,2389,100,12,12,-32,39,39,541615,2708,200,29,14.5,-20,83,41.5,169890,2360,72,8,11.11,-56,29,40.28,572290,3215,178,32,17.98,18,69,38.76,1,0,1050m,50,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/affinity-beyond_688957/,https://www.punters.com.au/jockeys/simon-miller_1603/,https://www.punters.com.au/trainers/luke-pepper_4650/,6
12,Tickler,4,G,65,3,1,33.33,367,1,33.33,0,0,0,0,3,1,33.33,367,15770,47310,5.5,,56,56,8,75000,1,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kerrin Mc Evoy,No,,10080025,100800,100,10,10,-20,36,36,17906388,27848,643,69,10.73,-27,220,34.21,11797715,50418,234,21,8.97,-41,80,34.19,11094298,17147,647,74,11.44,-31,222,34.31,Kurt Goldman,484115,4841,100,10,10,-28,33,33,544235,4573,119,11,9.24,-37,39,32.77,157055,3926,40,1,2.5,-87,12,30,580380,4464,130,14,10.77,-28,42,32.31,6,3.1,1400m,400,4000,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tickler_757707/,https://www.punters.com.au/jockeys/kerrin-mc-evoy_815/,https://www.punters.com.au/trainers/kurt-goldman_5083/,8
13,Loose Wire,5,M,54,19,2,10.53,50,5,26.32,13,2,15.38,119,6,0,0,-100,2066,39250,221,,55.5,52.5,2,75000,0,0,0,0,0,0,12,1,8.33,75,4,33.33,0,0,0,0,0,0,13,2,15.38,119,4,30.77,Mikayla Weir,Yes,3,311725,3117,100,10,10,-32,29,29,2242745,2225,1008,73,7.24,-24,244,24.21,889475,2464,361,28,7.76,-22,95,26.32,1978470,2105,940,63,6.7,-32,228,24.26,Wade Mathie,154890,1549,100,4,4,-61,25,25,54155,1692,32,2,6.25,-11,8,25,11795,907,13,0,0,-100,2,15.38,65420,2181,30,3,10,9,10,33.33,2,0.98,1000m,0,3900,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/loose-wire_704888/,https://www.punters.com.au/jockeys/mikayla-weir_11548/,https://www.punters.com.au/trainers/wade-mathie_4156/,12
14,Slice Of Heaven,3,F,58,6,2,33.33,-30,3,50,3,0,0,-100,3,2,66.67,40,6746,40475,34,,54,54,11,75000,0,0,0,0,0,0,4,2,50,5,2,50,0,0,0,0,0,0,3,0,0,-100,1,33.33,Rachel King,No,,1063765,10638,100,12,12,-34,40,40,7963140,10746,741,93,12.55,-12,269,36.3,4058355,13394,303,46,15.18,-8,124,40.92,6211455,9541,651,72,11.06,-17,223,34.26,Colt Prosser,231615,2316,100,8,8,-61,23,23,382340,2185,175,14,8,-65,38,21.71,100125,1697,59,3,5.08,-90,13,22.03,447825,2834,158,19,12.03,-3,38,24.05,10,9.56,1000m,0,725,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/slice-of-heaven_743563/,https://www.punters.com.au/jockeys/rachel-king_9898/,https://www.punters.com.au/trainers/colt-prosser_5025/,9
1,Toro Toro,4,G,69,8,3,37.5,164,4,50,5,2,40,212,3,1,33.33,83,9291,74328,5.5,,59,59,4,75000,2,0,0,-100,1,50,1,0,0,-100,0,0,1,0,0,-100,0,0,5,2,40,212,2,40,Grant Buckley,No,,284650,2847,100,11,11,-24,30,30,2938420,3173,926,101,10.91,-36,323,34.88,964555,2905,332,34,10.24,-34,116,34.94,3090915,3254,950,104,10.95,-34,318,33.47,Stephen Jones,341060,3411,100,10,10,-24,38,38,889658,3587,248,25,10.08,-35,88,35.48,246185,3419,72,6,8.33,-43,25,34.72,812888,3332,244,23,9.43,-42,81,33.2,8,7,1000m,0,1750,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/toro-toro_710010/,https://www.punters.com.au/jockeys/grant-buckley_555/,https://www.punters.com.au/trainers/stephen-jones_100/,5
2,Halcyon House,4,G,67,9,3,33.33,-16,6,66.67,4,1,25,-20,5,2,40,-13,5666,50990,12,,59,57,2,75000,1,0,0,-100,0,0,3,2,66.67,90,3,100,0,0,0,0,0,0,3,1,33.33,7,3,100,Tom Sherry,Yes,2,2487285,24873,100,14,14,-37,42,42,5754603,8174,704,111,15.77,-25,312,44.32,3528875,14522,243,35,14.4,-20,94,38.68,2647123,4920,538,95,17.66,-22,258,47.96,Luke Morgan,330595,3306,100,19,19,-15,43,43,206060,2862,72,10,13.89,-36,26,36.11,76165,2176,35,3,8.57,-70,8,22.86,260280,3885,67,17,25.37,14,36,53.73,4,3.39,1100m,100,1100,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/halcyon-house_728481/,https://www.punters.com.au/jockeys/tom-sherry_16835/,https://www.punters.com.au/trainers/luke-morgan_13847/,11
3,Siege Warfare,6,G,66,20,3,15,39,9,45,12,1,8.33,-25,8,2,25,135,3727,74530,16.2,,59,56,8,75000,3,0,0,-100,0,0,10,3,30,178,6,60,1,0,0,-100,0,0,12,1,8.33,-25,5,41.67,Mikayla Weir,Yes,3,311725,3117,100,10,10,-32,29,29,2242745,2225,1008,73,7.24,-24,244,24.21,889475,2464,361,28,7.76,-22,95,26.32,1978470,2105,940,63,6.7,-32,228,24.26,Todd Howlett,362260,3623,100,12,12,-26,33,33,840735,3489,241,27,11.2,-45,81,33.61,339420,3771,90,11,12.22,-24,30,33.33,661945,2955,224,22,9.82,-56,70,31.25,1,0,1000m,0,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/siege-warfare_564002/,https://www.punters.com.au/jockeys/mikayla-weir_11548/,https://www.punters.com.au/trainers/todd-howlett_435/,9
4,Crackneck,6,G,65,29,3,10.34,-52,16,55.17,16,2,12.5,-29,13,1,7.69,-82,4726,137065,5.5,,59,59,9,75000,4,0,0,-100,2,50,14,1,7.14,-39,7,50,2,0,0,-100,1,50,16,2,12.5,-29,6,37.5,Robbie Dolan,Yes,,597880,5979,100,6,6,-48,31,31,4074940,6407,636,50,7.86,-48,192,30.19,1122000,5667,198,16,8.08,-44,62,31.31,4638380,7398,627,56,8.93,-39,188,29.98,Allan Kehoe,257940,2579,100,12,12,-29,28,28,466015,2807,166,18,10.84,-31,55,33.13,162780,3130,52,4,7.69,-59,15,28.85,426000,2354,181,18,9.94,-34,58,32.04,2,1,1200m,200,13750,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/crackneck_556932/,https://www.punters.com.au/jockeys/robbie-dolan_14330/,https://www.punters.com.au/trainers/allan-kehoe_6087/,1
5,Tallis,4,G,65,12,3,25,-5,6,50,5,1,20,-53,7,2,28.57,30,8649,103785,11,,59,59,10,75000,3,0,0,-100,0,0,8,2,25,-51,4,50,3,0,0,-100,0,0,5,1,20,-53,3,60,Brenton Avdulla,No,,1962825,19628,100,17,17,10,41,41,9456884,14350,659,99,15.02,-22,289,43.85,3296640,14333,230,34,14.78,-23,93,40.43,10348379,14954,692,97,14.02,-31,311,44.94,Colt Prosser,231615,2316,100,8,8,-61,23,23,382340,2185,175,14,8,-65,38,21.71,100125,1697,59,3,5.08,-90,13,22.03,447825,2834,158,19,12.03,-3,38,24.05,7,4.86,1100m,100,1000,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/tallis_698471/,https://www.punters.com.au/jockeys/brenton-avdulla_190/,https://www.punters.com.au/trainers/colt-prosser_5025/,8
6,Reveal The Magic,4,G,68,15,2,13.33,-5,11,73.33,10,1,10,-52,5,1,20,90,5083,76245,8.6,,57.5,57.5,1,75000,0,0,0,0,0,0,5,1,20,90,3,60,0,0,0,0,0,0,10,1,10,-52,6,60,Rachel King,No,,1063765,10638,100,12,12,-34,40,40,7963140,10746,741,93,12.55,-12,269,36.3,4058355,13394,303,46,15.18,-8,124,40.92,6211455,9541,651,72,11.06,-17,223,34.26,Peter H Bloomfield,216380,2164,100,7,7,48,20,20,93920,1592,59,2,3.39,-80,11,18.64,64935,2405,27,2,7.41,-56,7,25.93,49255,1071,46,1,2.17,-94,5,10.87,1,0,1000m,0,16740,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/reveal-the-magic_706176/,https://www.punters.com.au/jockeys/rachel-king_9898/,https://www.punters.com.au/trainers/peter-h-bloomfield_1974/,2
7,Bad Boy for Love,5,G,61,23,2,8.7,-33,9,39.13,11,1,9.09,-69,12,1,8.33,0,4014,92325,8.6,,57.5,57.5,3,75000,6,0,0,-100,2,33.33,4,0,0,-100,0,0,3,0,0,-100,0,0,11,1,9.09,-69,4,36.36,Joshua Parr,No,,2455810,24558,100,17,17,21,37,37,5057985,17685,286,45,15.73,-15,109,38.11,2799015,22214,126,23,18.25,12,49,38.89,5653460,17722,319,46,14.42,-43,116,36.36,Gayna Williams,225180,2252,100,10,10,-31,30,30,423540,2733,155,16,10.32,-19,45,29.03,129510,2233,58,7,12.07,-3,17,29.31,430236,2849,151,15,9.93,-21,40,26.49,4,0.8,1000m,0,4500,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/bad-boy-for-love_599038/,https://www.punters.com.au/jockeys/joshua-parr_753/,https://www.punters.com.au/trainers/gayna-williams_1466/,10
8,Eleazar,6,G,56,26,2,7.69,-66,9,34.62,16,1,6.25,-59,10,1,10,-77,2967,77135,34,,57.5,54.5,7,75000,2,0,0,-100,0,0,15,1,6.67,-85,7,46.67,1,0,0,-100,0,0,16,1,6.25,-59,4,25,Reece Jones,Yes,3,328540,3285,100,14,14,-29,41,41,998510,2554,391,46,11.76,-8,122,31.2,791190,3127,253,36,14.23,-13,92,36.36,207320,1502,138,10,7.25,1,30,21.74,Jeremy Gask,311910,3119,100,9,9,-31,34,34,260835,3069,85,8,9.41,-25,29,34.12,95175,2884,33,2,6.06,-52,11,33.33,235160,3054,77,7,9.09,-31,26,33.77,1,0,1100m,100,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/eleazar_581380/,https://www.punters.com.au/jockeys/reece-jones_15212/,https://www.punters.com.au/trainers/jeremy-gask_14632/,6
9,Shanaya,5,M,61,14,3,21.43,53,4,28.57,8,2,25,113,6,1,16.67,-27,3570,49985,10,,57,57,12,75000,1,0,0,-100,0,0,6,3,50,257,4,66.67,1,0,0,-100,0,0,8,2,25,113,3,37.5,Tommy Berry,No,,1034690,10347,100,20,20,6,52,52,11490605,14981,767,135,17.6,-11,354,46.15,6288350,19713,319,69,21.63,7,164,51.41,12063455,16503,731,113,15.46,-14,314,42.95,Tash Burleigh,487030,4870,100,13,13,32,32,32,458895,5809,79,11,13.92,50,27,34.18,229365,8495,27,5,18.52,3,12,44.44,285640,3710,77,8,10.39,35,22,28.57,9,7.9,1200m,200,1750,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/shanaya_676329/,https://www.punters.com.au/jockeys/tommy-berry_1690/,https://www.punters.com.au/trainers/tash-burleigh_14078/,3
10,Alchera,5,M,54,16,3,18.75,38,5,31.25,12,3,25,84,4,0,0,-100,3501,56020,31,,57,57,6,75000,1,0,0,-100,0,0,6,1,16.67,-40,3,50,1,0,0,-100,0,0,11,2,18.18,24,4,36.36,Hugh Bowman,No,,2969850,29699,100,13,13,-3,37,37,13724812,25994,528,89,16.86,10,231,43.75,3423910,25362,135,17,12.59,-11,53,39.26,16899035,29647,570,94,16.49,7,255,44.74,Justin Bowen,158080,1581,100,4,4,-71,28,28,185430,1306,142,4,2.82,-79,29,20.42,117240,2345,50,4,8,-41,20,40,110930,860,129,2,1.55,-90,16,12.4,1,0,1000m,0,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/alchera_686250/,https://www.punters.com.au/jockeys/hugh-bowman_577/,https://www.punters.com.au/trainers/justin-bowen_14488/,4
11,Standing Bear,4,G,57,6,1,16.67,-48,4,66.67,4,1,25,-22,2,0,0,-100,4983,29900,13,,56,56,11,75000,0,0,0,0,0,0,2,0,0,-100,2,100,0,0,0,0,0,0,4,1,25,-22,3,75,Tim Clark,No,,3306400,33064,100,16,16,-24,39,39,10162085,15878,640,70,10.94,-28,209,32.66,4514080,20243,223,32,14.35,-27,86,38.57,11111455,16174,687,91,13.25,-13,234,34.06,Tony Ball,221965,2220,100,9,9,-31,27,27,175175,2467,71,7,9.86,-43,20,28.17,81640,2551,32,2,6.25,-77,9,28.13,108660,2090,52,6,11.54,-32,15,28.85,2,2.77,1000m,0,5300,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/standing-bear_743333/,https://www.punters.com.au/jockeys/tim-clark_1682/,https://www.punters.com.au/trainers/tony-ball_14686/,7
14,Fountain Of Youth,4,M,53,8,1,12.5,-60,3,37.5,4,1,25,-20,3,0,0,-100,2435,19480,161,,54,54,5,75000,0,0,0,0,0,0,5,0,0,-100,2,40,0,0,0,0,0,0,4,1,25,-20,3,75,Aaron Sweeney,No,,186005,1860,100,8,8,-57,34,34,766660,2100,365,37,10.14,-21,115,31.51,256445,1914,134,12,8.96,-7,44,32.84,669403,2105,318,31,9.75,-23,94,29.56,David Kelley,141420,1414,100,8,8,-43,28,28,75455,1279,59,4,6.78,-37,16,27.12,12155,675,18,0,0,-100,2,11.11,80875,1326,61,4,6.56,-40,19,31.15,2,0.57,1000m,0,4000,https://www.punters.com.au/form-guide/royal-randwick_188075/farewell-pat-webster-highway-class-3-plate_1086790/,https://www.punters.com.au/horses/fountain-of-youth_719909/,https://www.punters.com.au/jockeys/aaron-sweeney_6872/,https://www.punters.com.au/trainers/david-kelley_2061/,12
1,Knickpoint,4,G,71,9,3,33.33,-9,3,33.33,3,2,66.67,33,6,1,16.67,-30,11292,101630,9.5,,59.5,59.5,6,125000,2,0,0,-100,0,0,1,0,0,-100,0,0,0,0,0,0,0,0,3,2,66.67,33,2,66.67,James Mc Donald,No,,2898230,28982,100,19,19,-20,50,50,17443335,26310,663,133,20.06,-14,330,49.77,6129795,24618,249,55,22.09,-12,136,54.62,19407970,29317,662,124,18.73,-13,313,47.28,James Cummings,2491350,24914,100,21,21,-11,47,47,26104601,22446,1163,183,15.74,-21,537,46.17,14962045,40329,371,60,16.17,-19,174,46.9,23245801,18792,1237,198,16.01,-22,563,45.51,5,2.2,1200m,100,5000,https://www.punters.com.au/form-guide/royal-randwick_188075/easternbuilt-handicap_1086791/,https://www.punters.com.au/horses/knickpoint_706672/,https://www.punters.com.au/jockeys/james-mc-donald_2905/,https://www.punters.com.au/trainers/james-cummings_13534/,5
2,Travest,4,G,69,4,2,50,263,3,75,0,0,0,0,4,2,50,263,14700,58800,8,,58.5,58.5,5,125000,1,0,0,-100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Berry,No,,1034690,10347,100,20,20,6,52,52,11490605,14981,767,135,17.6,-11,354,46.15,6288350,19713,319,69,21.63,7,164,51.41,12063455,16503,731,113,15.46,-14,314,42.95,Gregory Hickman,502925,5029,100,16,16,-35,33,33,2538875,11920,213,27,12.68,-25,72,33.8,212200,4421,48,6,12.5,-61,12,25,4784365,21947,218,26,11.93,-25,77,35.32,5,1.6,1400m,300,5000,https://www.punters.com.au/form-guide/royal-randwick_188075/easternbuilt-handicap_1086791/,https://www.punters.com.au/horses/travest_743220/,https://www.punters.com.au/jockeys/tommy-berry_1690/,https://www.punters.com.au/trainers/gregory-hickman_523/,6
3,Miss Fox,4,M,72,7,4,57.14,25,6,85.71,4,2,50,-11,3,2,66.67,73,12936,90555,16,,58,58,8,125000,0,0,0,0,0,0,3,1,33.33,7,2,66.67,0,0,0,0,0,0,4,2,50,-11,3,75,Tim Clark,No,,3306400,33064,100,16,16,-24,39,39,10162085,15878,640,70,10.94,-28,209,32.66,4514080,20243,223,32,14.35,-27,86,38.57,11111455,16174,687,91,13.25,-13,234,34.06,Adam Duggan,562365,5624,100,22,22,3,48,48,352735,4968,71,15,21.13,-5,33,46.48,182770,5222,35,7,20,2,19,54.29,237810,4756,50,12,24,12,21,42,5,1.8,1100m,0,5000,https://www.punters.com.au/form-guide/royal-randwick_188075/easternbuilt-handicap_1086791/,https://www.punters.com.au/horses/miss-fox_716135/,https://www.punters.com.au/jockeys/tim-clark_1682/,https://www.punters.com.au/trainers/adam-duggan_3229/,9
