Num,Horse Name,Age,Gender,Handicap Rating,Career Runs,Career Wins,Career Strike Rate,Career ROI,Career Placings,Career Place Strike Rate,Dry Track Runs,Dry Track Wins,Dry Track Strike Rate,Dry Track ROI,Wet Track Runs,Wet Track Wins,Wet Track Strike Rate,Wet Track ROI,Average Prize Money,Career Prize Money,Best Fixed Odds,BetEasy Odds,Weight,Weight Carried,Barrier,Prize Money,This Track Runs,This Track Wins,This Track Strike Rate,This Track ROI,This Track Places,This Track Place Strike Rate,This Distance Runs,This Distance Wins,This Distance Strike Rate,This Distance ROI,This Distance Places,This Distance Place Strike Rate,This Track Distance Runs,This Track Distance Wins,This Track Distance Strike Rate,This Track Distance ROI,This Track Distance Places,This Track Distance Place Strike Rate,This Condition Runs,This Condition Wins,This Condition Strike Rate,This Condition ROI,This Condition Places,This Condition Place Strike Rate,Jockey,Apprentice,Jockey Weight Claim,Jockey Last 100 Horse Earnings,Jockey Last 100 Avg Horse Earnings,Jockey Last 100 Starts,Jockey Last 100 Wins,Jockey Last 100 Strike Rate,Jockey Last 100 ROI,Jockey Last 100 Places,Jockey Last 100 Place Strike Rate,Jockey 12 Month Horse Earnings,Jockey 12 Month Avg Horse Earnings,Jockey 12 Months Starts,Jockey 12 Months Wins,Jockey 12 Months Strike Rate,Jockey 12 Months ROI,Jockey 12 Months Places,Jockey 12 Months Place Strike Rate,Jockey This Season Horse Earnings,Jockey This Season Avg Horse Earnings,Jockey This Season Starts,Jockey This Season Wins,Jockey This Season Strike Rate,Jockey This Season ROI,Jockey This Season Places,Jockey This Season Place Strike Rate,Jockey Last Season Horse Earnings,Jockey Last Season Avg Horse Earnings,Jockey Last Season Starts,Jockey Last Season Wins,Jockey Last Season Strike Rate,Jockey Last Season ROI,Jockey Last Season Places,Jockey Last Season Place Strike Rate,Trainer,Trainer Last 100 Horse Earnings,Trainer Last 100 Avg Horse Earnings,Trainer Last 100 Starts,Trainer Last 100 Wins,Trainer Last 100 Strike Rate,Trainer Last 100 ROI,Trainer Last 100 Places,Trainer Last 100 Place Strike Rate,Trainer 12 Month Horse Earnings,Trainer 12 Month Avg Horse Earnings,Trainer 12 Months Starts,Trainer 12 Months Wins,Trainer 12 Months Strike Rate,Trainer 12 Months ROI,Trainer 12 Months Places,Trainer 12 Months Place Strike Rate,Trainer This Season Horse Earnings,Trainer This Season Avg Horse Earnings,Trainer This Season Starts,Trainer This Season Wins,Trainer This Season Strike Rate,Trainer This Season ROI,Trainer This Season Places,Trainer This Season Place Strike Rate,Trainer Last Season Horse Earnings,Trainer Last Season Avg Horse Earnings,Trainer Last Season Starts,Trainer Last Season Wins,Trainer Last Season Strike Rate,Trainer Last Season ROI,Trainer Last Season Places,Trainer Last Season Place Strike Rate,Last Start Finish Position,Last Start Margin,Last Start Distance,Last Start Distance Change,Last Start Prize Money,Form Guide Url,Horse Profile Url,Jockey Profile Url,Trainer Profile Url,FinishResult
8,Vistabelle,4,M,66,6,2,33.33,15,3,50,2,1,50,110,2,0,0,-100,6551,39305,6.5,,59,59,8,35000,1,1,100,320,1,100,1,1,100,320,1,100,1,1,100,320,1,100,2,1,50,110,1,50,Michael Poy,No,,763305,7633,100,10,10,-46,29,29,4999867,7204,694,81,11.67,7,214,30.84,1726750,8634,200,28,14,-2,65,32.5,4120917,6034,683,71,10.4,5,207,30.31,Henry Dwyer,257670,2577,100,9,9,-39,19,19,2241079,4640,483,59,12.22,-26,143,29.61,296295,2409,123,9,7.32,-50,23,18.7,2710149,5475,495,70,14.14,-12,173,34.95,1,0,1100m,0,12100,https://www.punters.com.au/form-guide/bendigo_188131/signmob-bm64-handicap_1087300/,https://www.punters.com.au/horses/vistabelle_752523/,https://www.punters.com.au/jockeys/michael-poy_14203/,https://www.punters.com.au/trainers/henry-dwyer_3279/,9
9,La Bella Costa,5,M,65,12,3,25,120,5,41.67,5,2,40,128,4,0,0,-100,6975,83700,21,,58.5,58.5,1,35000,1,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,128,4,80,Daniel Stackhouse,No,,1094215,10942,100,11,11,-50,32,32,6798248,6248,1088,124,11.4,-27,379,34.83,3087480,10396,297,26,8.75,-38,96,32.32,5008178,4416,1134,138,12.17,-20,399,35.19,Matt Laurie,812730,8127,100,17,17,-25,45,45,1931904,6755,286,53,18.53,-12,129,45.1,841520,7650,110,17,15.45,-32,48,43.64,1425839,5505,259,47,18.15,-4,112,43.24,9,16.35,1400m,300,630,https://www.punters.com.au/form-guide/bendigo_188131/signmob-bm64-handicap_1087300/,https://www.punters.com.au/horses/la-bella-costa_630450/,https://www.punters.com.au/jockeys/daniel-stackhouse_2539/,https://www.punters.com.au/trainers/matt-laurie_987/,5
10,Diamond Thora,4,M,62,5,1,20,70,2,40,3,1,33.33,183,2,0,0,-100,3816,19079,71,,57,57,12,35000,2,0,0,-100,0,0,1,0,0,-100,0,0,1,0,0,-100,0,0,3,1,33.33,183,2,66.67,Liam Riordan,Yes,,264295,2643,100,6,6,-44,20,20,1309275,3233,405,26,6.42,-16,83,20.49,678125,2961,229,15,6.55,-10,44,19.21,1071270,3327,322,23,7.14,-28,75,23.29,Brent Stanley,418327,4183,100,10,10,44,24,24,1039526,4539,229,27,11.79,10,59,25.76,330655,5087,65,6,9.23,-29,17,26.15,1111476,4117,270,36,13.33,9,88,32.59,1,0,1204m,104,12775,https://www.punters.com.au/form-guide/bendigo_188131/signmob-bm64-handicap_1087300/,https://www.punters.com.au/horses/diamond-thora_751374/,https://www.punters.com.au/jockeys/liam-riordan_10108/,https://www.punters.com.au/trainers/brent-stanley_6537/,10
11,Transpolar,4,M,62,4,1,25,150,2,50,1,0,0,-100,3,1,33.33,233,4054,16215,17,,57,57,3,35000,0,0,0,0,0,0,2,1,50,400,1,50,0,0,0,0,0,0,1,0,0,-100,0,0,Damian Lane,No,,2374730,23747,100,18,18,30,46,46,8274388,18146,456,71,15.57,-22,191,41.89,5298710,20302,261,41,15.71,-4,109,41.76,12638853,28530,443,64,14.45,-32,170,38.37,James Cummings,2522775,25228,100,20,20,-17,49,49,26128341,22409,1166,184,15.78,-21,539,46.23,14985785,40069,374,61,16.31,-19,176,47.06,23245801,18792,1237,198,16.01,-22,563,45.51,1,0,1112m,12,12650,https://www.punters.com.au/form-guide/bendigo_188131/signmob-bm64-handicap_1087300/,https://www.punters.com.au/horses/transpolar_748872/,https://www.punters.com.au/jockeys/damian-lane_2121/,https://www.punters.com.au/trainers/james-cummings_13534/,8
12,It's A Sahara,4,M,61,9,3,33.33,193,4,44.44,7,2,28.57,214,1,0,0,-100,3169,28525,221,,56.5,53.5,5,35000,0,0,0,0,0,0,1,0,0,-100,0,0,0,0,0,0,0,0,7,2,28.57,214,3,42.86,Tatum Bull,Yes,3,239112,2391,100,11,11,-60,28,28,495030,2181,227,25,11.01,-20,62,27.31,288202,2573,112,13,11.61,-57,33,29.46,217238,1810,120,12,10,11,33,27.5,Helen Burns,93216,932,100,3,3,-74,14,14,66856,1045,64,3,4.69,-59,10,15.63,33595,1527,22,1,4.55,-32,6,27.27,58356,778,75,2,2.67,-85,8,10.67,3,2.25,975m,-125,1760,https://www.punters.com.au/form-guide/bendigo_188131/signmob-bm64-handicap_1087300/,https://www.punters.com.au/horses/its-a-sahara_704757/,https://www.punters.com.au/jockeys/tatum-bull_15913/,https://www.punters.com.au/trainers/helen-burns_2653/,12
1,Dubai Dominion,5,G,72,14,1,7.14,-76,6,42.86,6,0,0,-100,8,1,12.5,-59,3953,55344,19,,64,61,6,35000,1,0,0,-100,0,0,7,1,14.29,-53,4,57.14,0,0,0,0,0,0,6,0,0,-100,1,16.67,Tatum Bull,Yes,3,239112,2391,100,11,11,-60,28,28,495030,2181,227,25,11.01,-20,62,27.31,288202,2573,112,13,11.61,-57,33,29.46,217238,1810,120,12,10,11,33,27.5,Andrew Bobbin,8715,2179,4,0,0,-100,2,50,15015,3003,5,0,0,-100,3,60,15015,3003,5,0,0,-100,3,60,0,0,0,0,0,0,0,0,11,16.8,1500m,100,,https://www.punters.com.au/form-guide/bendigo_188131/bertocchi-xmas-hams-class-1-handicap_1087301/,https://www.punters.com.au/horses/dubai-dominion_625762/,https://www.punters.com.au/jockeys/tatum-bull_15913/,https://www.punters.com.au/trainers/andrew-bobbin_15367/,2
2,Spud,6,G,64,9,1,11.11,-86,4,44.44,7,0,0,-100,1,1,100,30,8361,75253,5.5,,60,60,1,35000,0,0,0,0,0,0,3,0,0,-100,2,66.67,0,0,0,0,0,0,7,0,0,-100,3,42.86,Clayton Douglas,No,,268900,2689,100,7,7,-64,25,25,1735071,3555,488,48,9.84,-23,151,30.94,234080,3207,73,6,8.22,-55,19,26.03,2250556,3528,638,58,9.09,-31,192,30.09,Jason Warren & Dean Krongold,710495,7105,100,9,9,-38,37,37,1686451,4888,345,34,9.86,-17,121,35.07,894625,7157,125,13,10.4,3,47,37.6,1436931,4264,337,37,10.98,-7,112,33.23,12,9.3,1650m,250,,https://www.punters.com.au/form-guide/bendigo_188131/bertocchi-xmas-hams-class-1-handicap_1087301/,https://www.punters.com.au/horses/spud_786041/,https://www.punters.com.au/jockeys/clayton-douglas_2610/,https://www.punters.com.au/trainers/jason-warren-and-dean-krongold_1990/,1
3,Hostile Takeover,7,G,61,6,1,16.67,-8,3,50,6,1,16.67,-8,0,0,0,0,6710,40260,7,,58.5,58.5,7,35000,1,1,100,450,1,100,3,1,33.33,83,2,66.67,1,1,100,450,1,100,6,1,16.67,-8,3,50,Rhys McLeod,No,,539220,5392,100,12,12,-46,33,33,1055193,4272,247,27,10.93,-24,82,33.2,438335,4981,88,10,11.36,-44,30,34.09,923023,3783,244,26,10.66,-17,76,31.15,John Eady,47455,1582,30,1,3.33,-82,3,10,42375,7063,6,1,16.67,-8,4,66.67,40100,10025,4,1,25,38,4,100,3310,1103,3,0,0,-100,0,0,1,0,1400m,0,27500,https://www.punters.com.au/form-guide/bendigo_188131/bertocchi-xmas-hams-class-1-handicap_1087301/,https://www.punters.com.au/horses/hostile-takeover_736116/,https://www.punters.com.au/jockeys/rhys-mcleod_1452/,https://www.punters.com.au/trainers/john-eady_4728/,3
4,Lord Lennox,6,G,60,16,1,6.25,-92,7,43.75,7,1,14.29,-81,9,0,0,-100,4231,67702,13,,58,58,10,35000,0,0,0,0,0,0,1,0,0,-100,0,0,0,0,0,0,0,0,7,1,14.29,-81,4,57.14,Jye McNeil,No,,6086035,60860,100,14,14,39,37,37,14028610,14199,988,138,13.97,-14,371,37.55,8177135,31694,258,36,13.95,16,95,36.82,8279955,8158,1015,140,13.79,-13,365,35.96,Robbie Griffiths & Mathew de Kock,545435,5454,100,15,15,13,28,28,2656899,4184,635,53,8.35,-36,183,28.82,689890,4509,153,19,12.42,-6,41,26.8,2599064,4005,649,46,7.09,-45,183,28.2,6,2.35,1550m,150,630,https://www.punters.com.au/form-guide/bendigo_188131/bertocchi-xmas-hams-class-1-handicap_1087301/,https://www.punters.com.au/horses/lord-lennox_691519/,https://www.punters.com.au/jockeys/jye-mcneil_3183/,https://www.punters.com.au/trainers/robbie-griffiths-and-mathew-de-kock_935/,4
5,Thoughts'n'prayers,4,G,60,3,1,33.33,-3,1,33.33,2,1,50,45,1,0,0,-100,3106,9317,53,,58,58,3,35000,1,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,45,1,50,Jason Maskiell,No,,259300,2593,100,4,4,-75,31,31,1800104,2990,602,52,8.64,-28,176,29.24,783040,3023,259,22,8.49,-15,73,28.19,1868899,3044,614,58,9.45,-30,191,31.11,Tony Romeo,101764,1018,100,3,3,-90,24,24,28961,1034,28,1,3.57,-90,4,14.29,13140,1314,10,1,10,-71,1,10,30806,906,34,0,0,-100,5,14.71,6,6.05,1212m,-188,550,https://www.punters.com.au/form-guide/bendigo_188131/bertocchi-xmas-hams-class-1-handicap_1087301/,https://www.punters.com.au/horses/thoughtsnprayers_757053/,https://www.punters.com.au/jockeys/jason-maskiell_1949/,https://www.punters.com.au/trainers/tony-romeo_8770/,8
